GeneID	#PubMed	Symbol
7322	485	UBE2D2
10013	484	HDAC6
5610	484	EIF2AK2
65018	484	PINK1
613	483	BCR
2214	483	FCGR3A
7295	482	TXN
3838	482	KPNA2
8841	482	HDAC3
3418	481	IDH2
6279	480	S100A8
4854	479	NOTCH3
4613	479	MYCN
4160	478	MC4R
2078	477	ERG
3678	476	ITGA5
2155	476	F7
5806	475	PTX3
4018	475	LPA
1977	474	EIF4E
5515	474	PPP2CA
6117	473	RPA1
354	470	KLK3
3716	469	JAK1
4548	469	MTR
1030	469	CDKN2B
4361	469	MRE11
29110	468	TBK1
23476	467	BRD4
3566	467	IL4R
1789	466	DNMT3B
8651	466	SOCS1
3456	465	IFNB1
30835	464	CD209
6401	463	SELE
57817	463	HAMP
3313	462	HSPA9
1915	462	EEF1A1
2688	460	GH1
10419	459	PRMT5
7150	459	TOP1
2056	457	EPO
842	456	CASP9
2735	456	GLI1
7474	456	WNT5A
103	456	ADAR
7442	455	TRPV1
4210	455	MEFV
345	455	APOC3
5914	455	RARA
116519	454	APOA5
301	454	ANXA1
567	454	B2M
1213	453	CLTC
2244	452	FGB
1660	452	DHX9
3673	451	ITGA2
3592	451	IL12A
1021	450	CDK6
5294	450	PIK3CG
1654	450	DDX3X
79001	450	VKORC1
4067	450	LYN
23451	449	SF3B1
847	448	CAT
5770	447	PTPN1
7139	447	TNNT2
6426	446	SRSF1
6606	445	SMN1
27161	443	AGO2
5335	443	PLCG1
23621	442	BACE1
5777	442	PTPN6
283131	439	NEAT1
3181	438	HNRNPA2B1
6720	438	SREBF1
1020	437	CDK5
2130	436	EWSR1
4363	436	ABCC1
26986	435	PABPC1
2312	434	FLG
7529	434	YWHAB
3240	434	HP
1655	434	DDX5
3674	432	ITGA2B
2113	432	ETS1
6776	431	STAT5A
2023	430	ENO1
6403	429	SELP
7508	429	XPC
8289	428	ARID1A
5021	428	OXTR
875	428	CBS
5340	427	PLG
58	426	ACTA1
406906	426	MIR122
10664	425	CTCF
84868	425	HAVCR2
54790	425	TET2
2784	425	GNB3
604	424	BCL6
3115	424	HLA-DPB1
7184	424	HSP90B1
1072	424	CFL1
864	424	RUNX3
5579	423	PRKCB
3939	423	LDHA
2289	423	FKBP5
7273	422	TTN
6382	421	SDC1
3297	420	HSF1
5228	418	PGF
8359	418	H4C1
8202	418	NCOA3
1814	418	DRD3
7158	417	TP53BP1
8850	417	KAT2B
203068	417	TUBB
6198	417	RPS6KB1
940	416	CD28
3767	416	KCNJ11
10643	415	IGF2BP3
6908	415	TBP
51284	415	TLR7
406913	414	MIR126
80339	414	PNPLA3
7018	413	TF
1969	413	EPHA2
3192	412	HNRNPU
2243	410	FGA
5245	410	PHB1
125	409	ADH1B
2052	408	EPHX1
407021	408	MIR29A
10059	408	DNM1L
4914	408	NTRK1
25937	408	WWTR1
8829	407	NRP1
268	407	AMH
5725	407	PTBP1
1508	406	CTSB
5052	405	PRDX1
904	405	CCNT1
4734	404	NEDD4
8451	404	CUL4A
8826	403	IQGAP1
59067	403	IL21
8795	402	TNFRSF10B
5080	402	PAX6
9131	402	AIFM1
149233	402	IL23R
8452	402	CUL3
684	401	BST2
821	401	CANX
3579	401	CXCR2
4803	401	NGF
2149	401	F2R
50616	400	IL22
3159	400	HMGA1
6591	399	SNAI2
2876	399	GPX1
4830	399	NME1
135	398	ADORA2A
102	398	ADAM10
26291	398	FGF21
10599	397	SLCO1B1
407006	396	MIR221
4684	396	NCAM1
5624	396	PROC
2017	396	CTTN
2150	396	F2RL1
1500	395	CTNND1
92140	395	MTDH
3276	394	PRMT1
22914	393	KLRK1
4915	393	NTRK2
1278	393	COL1A2
4092	392	SMAD7
8837	392	CFLAR
4842	392	NOS1
133	392	ADM
1000	391	CDH2
1509	391	CTSD
5499	391	PPP1CA
8856	390	NR1I2
991	390	CDC20
7082	388	TJP1
3875	388	KRT18
3350	388	HTR1A
10631	387	POSTN
8607	386	RUVBL1
7351	386	UCP2
153	386	ADRB1
6275	386	S100A4
6778	385	STAT6
4057	385	LTF
84876	385	ORAI1
1981	384	EIF4G1
5950	384	RBP4
558	384	AXL
7253	383	TSHR
216	383	ALDH1A1
5928	383	RBBP4
5327	383	PLAT
340061	383	STING1
7137	383	TNNI3
10111	382	RAD50
1045	382	CDX2
4552	381	MTRR
4771	381	NF2
3659	381	IRF1
8314	380	BAP1
1589	380	CYP21A2
488	380	ATP2A2
890	379	CCNA2
174	379	AFP
50507	379	NOX4
1410	379	CRYAB
208	379	AKT2
834	379	CASP1
2638	379	GC
409	379	ARRB2
2066	379	ERBB4
6323	378	SCN1A
406935	378	MIR143
7535	377	ZAP70
10856	377	RUVBL2
775	377	CACNA1C
5590	377	PRKCZ
4804	376	NGFR
949	376	SCARB1
10855	376	HPSE
7345	376	UCHL1
4157	373	MC1R
6678	373	SPARC
155	373	ADRB3
2904	373	GRIN2B
10320	373	IKZF1
4286	372	MITF
94025	372	MUC16
540	372	ATP7B
3609	371	ILF3
5829	371	PXN
7416	371	VDAC1
7042	370	TGFB2
1460	370	CSNK2B
197	370	AHSG
84557	369	MAP1LC3A
5467	368	PPARD
407018	368	MIR27A
1280	368	COL2A1
4841	367	NONO
9611	367	NCOR1
3611	366	ILK
5155	366	PDGFB
3439	366	IFNA1
4176	366	MCM7
1585	366	CYP11B2
1616	365	DAXX
7337	364	UBE3A
4221	364	MEN1
5581	363	PRKCE
7486	363	WRN
4586	363	MUC5AC
358	362	AQP1
57506	362	MAVS
641	362	BLM
6421	361	SFPQ
6188	361	RPS3
947	361	CD34
9112	360	MTA1
4322	360	MMP13
4311	360	MME
10644	359	IGF2BP2
1555	359	CYP2B6
768	359	CA9
407008	358	MIR223
1965	358	EIF2S1
3654	357	IRAK1
5518	357	PPP2R1A
468	357	ATF4
820	356	CAMP
7332	356	UBE2L3
1536	356	CYBB
1244	355	ABCC2
7078	355	TIMP3
7113	354	TMPRSS2
7532	354	YWHAG
578	354	BAK1
3184	354	HNRNPD
10146	354	G3BP1
695	354	BTK
2272	353	FHIT
2162	353	F13A1
4853	353	NOTCH2
10524	352	KAT5
476	352	ATP1A1
406952	352	MIR17
3375	351	IAPP
81	351	ACTN4
2670	351	GFAP
406985	351	MIR200C
2811	350	GP1BA
361	350	AQP4
8772	350	FADD
4602	350	MYB
7251	349	TSG101
51561	349	IL23A
4976	347	OPA1
23410	347	SIRT3
25942	346	SIN3A
10657	346	KHDRBS1
2645	346	GCK
2923	346	PDIA3
4072	346	EPCAM
5310	345	PKD1
9612	345	NCOR2
6520	345	SLC3A2
1535	345	CYBA
4670	344	HNRNPM
3183	344	HNRNPC
5705	344	PSMC5
2690	344	GHR
6462	344	SHBG
3655	343	ITGA6
7846	343	TUBA1A
5710	342	PSMD4
10642	342	IGF2BP1
2492	342	FSHR
71	341	ACTG1
2934	341	GSN
11168	341	PSIP1
3880	341	KRT19
6950	341	TCP1
8648	340	NCOA1
9759	340	HDAC4
27250	340	PDCD4
2641	339	GCG
6376	339	CX3CL1
182	339	JAG1
4194	339	MDM4
10062	338	NR1H3
3133	338	HLA-E
1437	338	CSF2
5788	337	PTPRC
3684	337	ITGAM
7056	337	THBD
10381	337	TUBB3
4852	336	NPY
79923	336	NANOG
1524	336	CX3CR1
5176	336	SERPINF1
10015	336	PDCD6IP
23327	336	NEDD4L
10075	336	HUWE1
2266	336	FGG
5654	335	HTRA1
4791	334	NFKB2
498	333	ATP5F1A
3990	333	LIPC
5428	333	POLG
3169	333	FOXA1
1832	333	DSP
4171	333	MCM2
3187	332	HNRNPH1
5741	332	PTH
546	332	ATRX
3575	332	IL7R
25939	332	SAMHD1
8473	332	OGT
4085	331	MAD2L1
7080	331	NKX2-1
5175	330	PECAM1
7187	330	TRAF3
5617	330	PRL
240	330	ALOX5
3304	330	HSPA1B
5976	330	UPF1
2776	330	GNAQ
7494	330	XBP1
2833	329	CXCR3
3002	329	GZMB
4973	329	OLR1
284	329	ANGPT1
7334	329	UBE2N
659	328	BMPR2
252995	328	FNDC5
708	327	C1QBP
3728	327	JUP
3925	325	STMN1
406992	325	MIR210
2177	325	FANCD2
6261	325	RYR1
10521	325	DDX17
9782	325	MATR3
7941	325	PLA2G7
329	324	BIRC2
1139	324	CHRNA7
9839	324	ZEB2
2185	323	PTK2B
406986	323	MIR203A
4625	323	MYH7
1991	323	ELANE
6737	323	TRIM21
246778	323	IL27
2010	323	EMD
5093	322	PCBP1
3040	322	HBA2
7248	322	TSC1
100048912	321	CDKN2B-AS1
3897	321	L1CAM
4522	320	MTHFD1
7879	319	RAB7A
3301	319	DNAJA1
6777	319	STAT5B
1398	319	CRK
5443	319	POMC
551	319	AVP
5172	319	SLC26A4
9531	318	BAG3
1459	318	CSNK2A2
1540	318	CYLD
85480	318	TSLP
51548	318	SIRT6
4217	318	MAP3K5
5903	318	RANBP2
54209	318	TREM2
1236	317	CCR7
5045	317	FURIN
5868	317	RAB5A
3554	317	IL1R1
64135	316	IFIH1
975	316	CD81
2159	316	F10
6521	316	SLC4A1
8877	316	SPHK1
5727	316	PTCH1
2626	315	GATA4
5573	315	PRKAR1A
10987	315	COPS5
3921	315	RPSA
50964	314	SOST
3371	314	TNC
8862	314	APLN
5708	314	PSMD2
1938	313	EEF2
5053	313	PAH
3491	313	CCN1
56339	312	METTL3
572	312	BAD
3484	312	IGFBP1
2120	312	ETV6
51741	312	WWOX
506	311	ATP5F1B
2623	311	GATA1
1548	311	CYP2A6
4595	311	MUTYH
6921	311	ELOC
83737	311	ITCH
9971	310	NR1H4
4001	310	LMNB1
1978	310	EIF4EBP1
107980440	310	LOC107980440
55384	310	MEG3
28	310	ABO
3185	309	HNRNPF
4041	309	LRP5
100133941	309	CD24
7172	309	TPMT
7001	309	PRDX2
1108	309	CHD4
2167	308	FABP4
6925	308	TCF4
4287	308	ATXN3
87	308	ACTN1
1812	307	DRD1
24	307	ABCA4
109504728	307	LOC109504728
5034	307	P4HB
6194	306	RPS6
6573	306	SLC19A1
3624	306	INHBA
467	306	ATF3
408	305	ARRB1
5216	305	PFN1
3572	304	IL6ST
3397	304	ID1
308	304	ANXA5
7019	304	TFAM
3676	303	ITGA4
9332	303	CD163
51176	303	LEF1
5584	303	PRKCI
10919	303	EHMT2
405	302	ARNT
10594	302	PRPF8
1785	302	DNM2
110806263	302	LOC110806263
9232	301	PTTG1
3191	301	HNRNPL
6125	301	RPL5
2852	301	GPER1
1649	301	DDIT3
6624	301	FSCN1
7014	300	TERF2
3814	300	KISS1
6390	300	SDHB
27185	299	DISC1
1778	299	DYNC1H1
5820	299	PVT1
2	299	A2M
952	299	CD38
2237	299	FEN1
7203	298	CCT3
6928	298	HNF1B
3122	298	HLA-DRA
6288	298	SAA1
2006	298	ELN
9575	298	CLOCK
7045	298	TGFBI
8239	297	USP9X
382	297	ARF6
3574	297	IL7
22948	297	CCT5
3482	297	IGF2R
10763	297	NES
2624	297	GATA2
4086	296	SMAD1
8312	296	AXIN1
3164	296	NR4A1
2073	296	ERCC5
29128	296	UHRF1
406996	296	MIR214
655	295	BMP7
7010	295	TEK
59341	295	TRPV4
4878	295	NPPA
2081	295	ERN1
3691	295	ITGB4
2158	294	F9
7068	294	THRB
6446	294	SGK1
330	294	BIRC3
8542	294	APOL1
6775	294	STAT4
7314	293	UBB
9927	293	MFN2
6566	293	SLC16A1
4172	293	MCM3
6595	293	SMARCA2
249	293	ALPL
6418	293	SET
1386	293	ATF2
1281	292	COL3A1
3856	292	KRT8
8290	292	H3-4
2969	292	GTF2I
10397	292	NDRG1
6135	292	RPL11
10376	291	TUBA1B
7317	291	UBA1
2810	291	SFN
6427	291	SRSF2
6348	291	CCL3
7168	291	TPM1
580	290	BARD1
3099	290	HK2
4907	290	NT5E
10576	290	CCT2
1048	290	CEACAM5
1487	289	CTBP1
6607	289	SMN2
5292	289	PIM1
4928	289	NUP98
121278	289	TPH2
59	289	ACTA2
1394	289	CRHR1
2919	289	CXCL1
4926	288	NUMA1
701	288	BUB1B
11335	288	CBX3
8243	288	SMC1A
11091	288	WDR5
8792	288	TNFRSF11A
1673	287	DEFB4A
3358	287	HTR2C
407007	287	MIR222
7533	287	YWHAH
5094	287	PCBP2
55054	287	ATG16L1
3832	286	KIF11
23468	286	CBX5
4306	286	NR3C2
462	286	SERPINC1
9188	285	DDX21
3485	285	IGFBP2
6833	285	ABCC8
8140	284	SLC7A5
4478	284	MSN
9368	284	NHERF1
5037	284	PEBP1
5339	283	PLEC
56616	283	DIABLO
406971	283	MIR195
632	282	BGLAP
406910	282	MIR125A
6923	282	ELOB
1399	282	CRKL
961	282	CD47
9173	282	IL1RL1
8660	282	IRS2
406907	282	MIR124-1
3852	281	KRT5
996	281	CDC27
3030	281	HADHA
727	281	C5
81631	281	MAP1LC3B
6262	281	RYR2
1739	280	DLG1
5742	280	PTGS1
7020	280	TFAP2A
9475	280	ROCK2
1445	280	CSK
6890	280	TAP1
11331	280	PHB2
1612	280	DAPK1
5069	280	PAPPA
8408	280	ULK1
6654	279	SOS1
406950	279	MIR16-1
406988	279	MIR205
3608	279	ILF2
7414	279	VCL
10133	278	OPTN
2902	278	GRIN1
4653	278	MYOC
9564	278	BCAR1
10492	277	SYNCRIP
5931	277	RBBP7
406942	277	MIR150
9076	277	CLDN1
23020	277	SNRNP200
6929	277	TCF3
292	277	SLC25A5
22933	277	SIRT2
6741	277	SSB
3836	276	KPNA1
51129	276	ANGPTL4
407029	275	MIR30A
79728	275	PALB2
5702	275	PSMC3
7706	275	TRIM25
2717	275	GLA
1435	275	CSF1
2516	274	NR5A1
11140	274	CDC37
57142	274	RTN4
6364	274	CCL20
3663	274	IRF5
10694	274	CCT8
1113	274	CHGA
57007	274	ACKR3
5601	274	MAPK9
2740	273	GLP1R
4607	273	MYBPC3
