uniprotkb:P63104	uniprotkb:Q01813	0.4
uniprotkb:P63104	uniprotkb:Q02241	0.84
uniprotkb:P63104	uniprotkb:Q07002	0.4
uniprotkb:P63104	uniprotkb:Q12778	0.53
uniprotkb:P63104	uniprotkb:Q12802	0.56
uniprotkb:P63104	uniprotkb:Q12824	0.4
uniprotkb:P63104	uniprotkb:Q13625	0.67
uniprotkb:P63104	uniprotkb:Q14152	0.4
uniprotkb:P63104	uniprotkb:Q14204	0.4
uniprotkb:P63104	uniprotkb:Q14980	0.4
uniprotkb:P63104	uniprotkb:Q15007	0.4
uniprotkb:P63104	uniprotkb:Q15041	0.4
uniprotkb:P63104	uniprotkb:Q15154	0.4
uniprotkb:P63104	uniprotkb:Q15831	0.61
uniprotkb:P63104	uniprotkb:Q16890	0.59
uniprotkb:P63104	uniprotkb:Q2NL82	0.4
uniprotkb:P63104	uniprotkb:Q5PRF9	0.5925
uniprotkb:P63104	uniprotkb:Q5VV41	0.56
uniprotkb:P63104	uniprotkb:Q6P597	0.56
uniprotkb:P63104	uniprotkb:Q6R327	0.53
uniprotkb:P63104	uniprotkb:Q6WCQ1	0.56
uniprotkb:P63104	uniprotkb:Q71U36	0.56
uniprotkb:P63104	uniprotkb:Q7L804	0.53
uniprotkb:P63104	uniprotkb:Q7L8J4	0.56
uniprotkb:P63104	uniprotkb:Q86W92	0.4
uniprotkb:P63104	uniprotkb:Q86X27	0.5736666666666667
uniprotkb:P63104	uniprotkb:Q8WUI4	0.74
uniprotkb:P63104	uniprotkb:Q92934	0.85
uniprotkb:P63104	uniprotkb:Q92974	0.67
uniprotkb:P63104	uniprotkb:Q99832	0.4
uniprotkb:P63104	uniprotkb:Q9H1R3	0.53
uniprotkb:P63104	uniprotkb:Q9NSK0	0.508
uniprotkb:P63104	uniprotkb:Q9NYL2	0.7
uniprotkb:P63104	uniprotkb:Q9P0L2	0.64
uniprotkb:P63104	uniprotkb:Q9UQB8	0.53
uniprotkb:P63104	uniprotkb:Q9UQC2	0.64
uniprotkb:P63104	uniprotkb:Q9Y2U5	0.64
uniprotkb:P63104	uniprotkb:Q9Y3M2	0.64
uniprotkb:P63104	uniprotkb:P67809	0.4
uniprotkb:P63104	uniprotkb:P78371	0.4
uniprotkb:P63104	uniprotkb:Q01082	0.4
uniprotkb:P63104	uniprotkb:Q01105	0.4
uniprotkb:P63104	uniprotkb:Q02750	0.53
uniprotkb:P63104	uniprotkb:Q02790	0.4
uniprotkb:P63104	uniprotkb:Q06830	0.4
uniprotkb:P63104	uniprotkb:Q08211	0.4
uniprotkb:P63104	uniprotkb:Q09666	0.4
uniprotkb:P63104	uniprotkb:Q13200	0.4
uniprotkb:P63104	uniprotkb:Q13263	0.4
uniprotkb:P63104	uniprotkb:Q13813	0.4
uniprotkb:P63104	uniprotkb:Q14764	0.4
uniprotkb:P63104	uniprotkb:Q15365	0.4
uniprotkb:P63104	uniprotkb:Q15884	0.55
uniprotkb:P63104	uniprotkb:Q3ZCQ8	0.4
uniprotkb:P63104	uniprotkb:Q6PJG9	0.46
uniprotkb:P63104	uniprotkb:Q6VAB6	0.53
uniprotkb:P63104	uniprotkb:Q86U42	0.4
uniprotkb:P63104	uniprotkb:Q86U70	0.4
uniprotkb:P63104	uniprotkb:Q8IY18	0.4
uniprotkb:P63104	uniprotkb:Q96F86	0.4625
uniprotkb:P63104	uniprotkb:Q96HR9	0.4
uniprotkb:P63104	uniprotkb:Q96RK0	0.4
uniprotkb:P63104	uniprotkb:Q99683	0.7200000000000001
uniprotkb:P63104	uniprotkb:Q99829	0.4
uniprotkb:P63104	uniprotkb:Q9BQA1	0.4
uniprotkb:P63104	uniprotkb:Q9BT78	0.4
uniprotkb:P63104	uniprotkb:Q9GZS3	0.4
uniprotkb:P63104	uniprotkb:Q9NQU5	0.53
uniprotkb:P63104	uniprotkb:Q9NYF0	0.4
uniprotkb:P63104	uniprotkb:Q9P0K1	0.63
uniprotkb:P63104	uniprotkb:Q9P0V3	0.4
